"mapped_by","year","reporter_fao","reporter_name","flow","hs_chap","hs","hs_extend","fcl","details","tl_description"
"M",2000,154,"Macedonia",2,23,"2309900011",2309900011,843,"Trademap TL description, Old SWS series (could also be mapped to various and sundry other animal feeds)","Preparations of a kind used in animal feeding"
"M",2000,154,"Macedonia",2,23,"2309900019",2309900019,843,"Trademap TL description, Old SWS series (could also be mapped to various and sundry other animal feeds)","Preparations of a kind used in animal feeding"
"2",2000,196,"Seychelle",2,8,"80122",8012200,0,NA,NA
"2",2000,196,"Seychelle",2,8,"80131",8013100,0,NA,NA
"M",2000,154,"Macedonia",2,23,"2309900030",2309900030,843,"Trademap TL description, Old SWS series (could also be mapped to various and sundry other animal feeds)","Preparations of a kind used in animal feeding, containing no starch, glucose, glucose syrup, . . ."
"M",2000,154,"Macedonia",2,23,"2309900090",2309900090,843,"Trademap TL description, Old SWS series (could also be mapped to various and sundry other animal feeds)","Preparations of a kind used in animal feeding"
"K",2000,154,"Macedonia",2,8,"809202900",809202900,531,"Country TL description","Cherries"
"K",2000,154,"Macedonia",2,8,"809203900",809203900,531,"Country TL description","Cherries"
"K",2000,154,"Macedonia",2,8,"809204100",809204100,531,"Country TL description","Cherries"
"K",2000,154,"Macedonia",2,8,"809204900",809204900,531,"Country TL description","Cherries"
"T",2000,158,"Niger",1,35,"3501900000",3501900000,917,"Generic HS2012 to FCL unique six-digit match",NA
"C",2000,166,"Panama",1,35,"35019010",35019010,753,"WITS","Oil essentials nes"
"C",2000,166,"Panama",1,35,"35019090",35019090,753,"WITS","Oil essentials nes"
"C",2000,169,"Paraguay",1,10,"10060000000",10060000000,0,"HS 4-digit heading?",NA
"C",2000,169,"Paraguay",1,1,"1010000000",1010000000,0,"HS 4-digit heading?",NA
"C",2000,169,"Paraguay",1,11,"11030000000",11030000000,0,"HS 4-digit heading?",NA
"C",2000,169,"Paraguay",1,15,"15120000000",15120000000,0,"HS 4-digit heading?",NA
"C",2000,169,"Paraguay",1,15,"15150000000",15150000000,0,"HS 4-digit heading?",NA
"C",2000,169,"Paraguay",1,19,"19010000000",19010000000,0,"HS 4-digit heading?",NA
"C",2000,169,"Paraguay",1,20,"20011100000",20011100000,0,"CODE DOES NOT EXIST",NA
"C",2000,169,"Paraguay",1,20,"20020000000",20020000000,0,"HS 4-digit heading?",NA
"C",2000,169,"Paraguay",1,21,"21010000000",21010000000,0,"HS 4-digit heading?",NA
"C",2000,169,"Paraguay",1,21,"21049019000",21049019000,0,"CODE DOES NOT EXIST",NA
"C",2000,169,"Paraguay",1,22,"22040000000",22040000000,0,"HS 4-digit heading?",NA
"C",2000,169,"Paraguay",1,23,"23010000000",23010000000,0,"HS 4-digit heading?",NA
"C",2000,169,"Paraguay",1,23,"23030000000",23030000000,0,"HS 4-digit heading?",NA
"C",2000,169,"Paraguay",1,38,"38231000000",38231000000,0,"CODE DOES NOT EXIST",NA
"C",2000,169,"Paraguay",1,41,"41010000000",41010000000,0,"HS 4-digit heading?",NA
