"hs2012_code","ex_code","faostat_code","faostat_name","unit"
"070999",NA,378,"CASSAVA LEAVES","MT"
"070999",NA,430,"OKRA","MT"
"070999",NA,446,"GREEN CORN (MAIZE)","MT"
"070999",NA,463,"VEGETABLES FRESH NES","MT"
"071010",NA,118,"FROZEN POTATOES","MT"
"071021",NA,473,"VEGETABLE FROZEN","MT"
"071022",NA,473,"VEGETABLE FROZEN","MT"
"071029",NA,473,"VEGETABLE FROZEN","MT"
"071030",NA,473,"VEGETABLE FROZEN","MT"
"071040",NA,447,"SWEET CORN FROZEN","MT"
"071080",NA,473,"VEGETABLE FROZEN","MT"
"071090",NA,473,"VEGETABLE FROZEN","MT"
"071120",NA,262,"OLIVES PRESERVED","MT"
"071140",NA,474,"VEG.IN TEM. PRESERVATIVES","MT"
"071151",NA,474,"VEG.IN TEM. PRESERVATIVES","MT"
"071159",NA,474,"VEG.IN TEM. PRESERVATIVES","MT"
"071190",NA,474,"VEG.IN TEM. PRESERVATIVES","MT"
"071220",NA,469,"VEGETABLES DEHYDRATED","MT"
"071231",NA,450,"DRIED MUSHROOMS","MT"
"071232",NA,450,"DRIED MUSHROOMS","MT"
"071233",NA,450,"DRIED MUSHROOMS","MT"
"071239",NA,450,"DRIED MUSHROOMS","MT"
"071290",NA,469,"VEGETABLES DEHYDRATED","MT"
"071310",NA,187,"PEAS DRY","MT"
"071320",NA,191,"CHICK-PEAS","MT"
"071331",NA,176,"BEANS DRY","MT"
"071332",NA,176,"BEANS DRY","MT"
"071333",NA,176,"BEANS DRY","MT"
"071334",NA,203,"BAMBARA BEANS","MT"
"071335",NA,195,"COW PEAS DRY","MT"
"071339",NA,176,"BEANS DRY","MT"
"071340",NA,201,"LENTILS","MT"
"071350",NA,181,"BROAD BEANS DRY","MT"
"071360",NA,197,"PIGEON PEAS","MT"
"071390",NA,211,"PULSES, NES","MT"
"071410",NA,125,"Cassava","MT"
"071410",NA,128,"CASSAVA DRIED","MT"
"071420",NA,122,"SWEET POTATOES","MT"
"071430",NA,137,"YAMS","MT"
"071440",NA,136,"TARO (COCOYAM)","MT"
"071450",NA,135,"YAUTIA (COCOYAM)","MT"
"071490",NA,149,"ROOTS AND TUBERS, NES","MT"
"071490",NA,151,"ROOTS AND TUBERS DRIED","MT"
"080111",NA,250,"COCONUTS DESICCATED","MT"
"080112",NA,249,"COCONUTS","MT"
"080119",NA,249,"COCONUTS","MT"
"080121",NA,216,"BRAZIL NUTS IN SHELL","MT"
"080122",NA,229,"BRAZIL NUTS SHELLED","MT"
"080131",NA,217,"CASHEW NUTS IN SHELL","MT"
"080132",NA,230,"CASHEW NUTS SHELLED","MT"
"080211",NA,221,"ALMONDS IN SHELL","MT"
"080212",NA,231,"ALMONDS SHELLED","MT"
"080221",NA,225,"HAZELNUTS (FILBERTS) IN SHELL","MT"
"080222",NA,233,"HAZELNUTS SHELLED","MT"
"080231",NA,222,"WALNUTS IN SHELL","MT"
"080232",NA,232,"WALNUTS SHELLED","MT"
"080241",NA,220,"CHESTNUTS","MT"
"080242",NA,220,"CHESTNUTS","MT"
"080251",NA,223,"PISTACHIOS","MT"
"080252",NA,223,"PISTACHIOS","MT"
"080261",NA,234,"Nuts nes (MACADAMIA NUTS)","MT"
"080262",NA,234,"Nuts nes (MACADAMIA NUTS)","MT"
"080270",NA,224,"KOLANUTS","MT"
"080280",NA,226,"ARECANUTS","MT"
"080290",NA,234,"NUTS, NES","MT"
"080310",NA,489,"PLANTAINS","MT"
"080390",NA,486,"BANANAS","MT"
"080390",NA,604,"FRUIT TROPICAL DRIED NES","MT"
"080410",NA,577,"DATES","MT"
"080420",NA,569,"FIGS","MT"
"080420",NA,570,"FIGS DRIED","MT"
"080430",NA,574,"PINEAPPLES","MT"
"080440",NA,572,"AVOCADOS","MT"
"080450",NA,571,"MANGOES","MT"
"080450",NA,603,"FRUIT TROPICAL FRESH NES","MT"
"080450",NA,604,"FRUIT TROPICAL DRIED NES","MT"
"080510",NA,490,"ORANGES","MT"
"080520",NA,495,"TANG.MAND. CLEMENT.SATSMA","MT"
"080540",NA,507,"GRAPEFRUIT&POMELO 0","MT"
"080550",NA,497,"LEMONS AND LIMES","MT"
"080590",NA,512,"CITRUS FRUIT NES","MT"
"080610",NA,560,"GRAPES","MT"
"080620",NA,561,"RAISINS","MT"
"080711",NA,567,"WATERMELONS","MT"
"080719",NA,568,"MELONS INCL. CANTALOUPES","MT"
"080720",NA,600,"PAPAYAS","MT"
"080810",NA,515,"APPLES","MT"
"080830",NA,521,"PEARS","MT"
"080840",NA,523,"QUINCES","MT"
"080910",NA,526,"APRICOTS","MT"
"080921",NA,530,"SOUR CHERRIES","MT"
"080929",NA,531,"CHERRIES","MT"
"080930",NA,534,"PEACHES AND NECTARINES","MT"
"080940",NA,536,"PLUMS","MT"
"081010",NA,544,"STRAWBERRIES","MT"
"081020",NA,547,"RASPBERRIES","MT"
"081020",NA,558,"BERRIES NES","MT"
"081030",NA,549,"GOOSBERRIES","MT"
