hs2012_code,ex_code,faostat_code,faostat_name,unit
80211,,221,ALMONDS IN SHELL,MT
80212,,231,ALMONDS SHELLED,MT
80221,,225,HAZELNUTS (FILBERTS) IN SHELL,MT
80222,,233,HAZELNUTS SHELLED,MT
80231,,222,WALNUTS IN SHELL,MT
80232,,232,WALNUTS SHELLED,MT
80241,,220,CHESTNUTS,MT
80242,,220,CHESTNUTS,MT
80251,,223,PISTACHIOS,MT
80252,,223,PISTACHIOS,MT
80261,,234,Nuts nes (MACADAMIA NUTS),MT
80262,,234,Nuts nes (MACADAMIA NUTS),MT
80270,,224,KOLANUTS,MT
80280,,226,ARECANUTS,MT
80290,,234,"NUTS, NES",MT
80310,,489,PLANTAINS,MT
80390,,486,BANANAS,MT
80390,,604,FRUIT TROPICAL DRIED NES,MT
80410,,577,DATES,MT
80420,,569,FIGS,MT
80420,,570,FIGS DRIED,MT
80430,,574,PINEAPPLES,MT
80440,,572,AVOCADOS,MT
80450,,571,MANGOES,MT
80450,,603,FRUIT TROPICAL FRESH NES,MT
80450,,604,FRUIT TROPICAL DRIED NES,MT
80510,,490,ORANGES,MT
80520,,495,TANG.MAND. CLEMENT.SATSMA,MT
80540,,507,GRAPEFRUIT&POMELO 0,MT
80550,,497,LEMONS AND LIMES,MT
80590,,512,CITRUS FRUIT NES,MT
80610,,560,GRAPES,MT
80620,,561,RAISINS,MT
80711,,567,WATERMELONS,MT
80719,,568,MELONS INCL. CANTALOUPES,MT
80720,,600,PAPAYAS,MT
80810,,515,APPLES,MT
80830,,521,PEARS,MT
80840,,523,QUINCES,MT
80910,,526,APRICOTS,MT
80921,,530,SOUR CHERRIES,MT
80929,,531,CHERRIES,MT
80930,,534,PEACHES AND NECTARINES,MT
80940,,536,PLUMS,MT
81010,,544,STRAWBERRIES,MT
81020,,547,RASPBERRIES,MT
81020,,558,BERRIES NES,MT
81030,,549,GOOSBERRIES,MT
81030,,550,CURRANTS,MT
81040,,552,BLUEBERRIES,MT
81040,,554,CRANBERRIES,MT
81040,,558,BERRIES NES,MT
81050,,592,kiwi fruit,MT
81060,,603,FRUIT TROPICAL FRESH NES,MT
81070,,587,PERSIMMONS,MT
81090,,541,FRUITSTONE FR.NES,MT
81090,,591,CASHEWAPPLE,MT
81090,,619,FRUIT FRESH NES,MT
81110,,623,FRUIT Prp NES,MT
81120,,623,FRUIT Prp NES,MT
81190,,623,FRUIT Prp NES,MT
81210,,623,FRUIT Prp NES,MT
81290,,623,FRUIT Prp NES,MT
81310,,527,DRY APRICOTS,MT
81320,,537,PLUMS DRIED (PRUNES),MT
81330,,620,FRUIT DRIED NES,MT
81340,,620,FRUIT DRIED NES,MT
81350,,620,FRUIT DRIED NES,MT
81400,,623,FRUIT Prp NES,MT
90111,,656,COFFEE GREEN,MT
90112,,656,COFFEE GREEN,MT
90121,,657,COFFEE ROASTED,MT
90122,,657,COFFEE ROASTED,MT
90190,,658,COFFEE SUBST. CONT.COFFEE,MT
90190,,660,Coffee husks and skins,MT
90210,,667,TEA,MT
90220,,667,TEA,MT
90230,,667,TEA,MT
90240,,667,TEA,MT
90300,,671,MATE,MT
90411,,687,PEPPER,MT
90412,,687,PEPPER,MT
90421,,689,PIMENTO,MT
90422,,689,PIMENTO,MT
90510,,692,VANILLA,MT
90520,,692,VANILLA,MT
90611,,693,CINNAMON(CANELLA),MT
90619,,693,CINNAMON(CANELLA),MT
90620,,693,CINNAMON(CANELLA),MT
90710,,698,CLOVESWHOLE STEM,MT
90720,,698,CLOVESWHOLE STEM,MT
90811,,702,NUTMEG MACE CARDAMONS,MT
90812,,702,NUTMEG MACE CARDAMONS,MT
90821,,702,NUTMEG MACE CARDAMONS,MT
90822,,702,NUTMEG MACE CARDAMONS,MT
90831,,702,NUTMEG MACE CARDAMONS,MT
90832,,702,NUTMEG MACE CARDAMONS,MT
90921,,711,ANISE BADIAN FENNEL,MT
90922,,711,ANISE BADIAN FENNEL,MT
90931,,711,ANISE BADIAN FENNEL,MT
90932,,711,ANISE BADIAN FENNEL,MT
90961,,711,ANISE BADIAN FENNEL,MT
90962,,711,ANISE BADIAN FENNEL,MT
91011,,720,GINGER,MT
91012,,720,GINGER,MT
91020,,723,SPICES NES,MT
91030,,723,SPICES NES,MT
91091,,723,SPICES NES,MT
91099,,723,SPICES NES,MT
100111,,15,WHEAT,MT
100119,,15,WHEAT,MT
100191,,15,WHEAT,MT
100199,,15,WHEAT,MT
100210,,71,RYE,MT
100290,,71,RYE,MT
100310,,44,BARLEY,MT
100390,,44,BARLEY,MT
100410,,75,OATS,MT
100490,,75,OATS,MT
100510,,56,MAIZE,MT
100590,,56,MAIZE,MT
100610,,27,RICE PADDY,MT
100620,,28,RICE HUSKED,MT
100630,,29,MILLED/HUSKED RICE,MT
100630,,31,RICE MILLED,MT
100640,,32,RICE BROKEN,MT
100710,,83,SORGHUM,MT
100790,,83,SORGHUM,MT
100810,,89,BUCKWHEAT,MT
100821,,79,MILLET,MT
100829,,79,MILLET,MT
100830,,101,CANARY SEED,MT
100840,,94,FONIO,MT
100850,,92,QUINOA,MT
100860,,97,TRITICALE,MT
100890,,103,MIXED GRAIN,MT
100890,,108,CEREALS NES,MT
110100,,16,FLOUR OF WHEAT,MT
110220,,58,FLOUR OF MAIZE,MT
110290,,38,RICE FLOUR,MT
110290,,48,BARLEY FLOUR AND GRITS,MT
110290,,72,FLOUR OF RYE,MT
110290,,80,FLOUR OF MILLET,MT
110290,,84,FLOUR OF SORGHUM,MT
110290,,90,FLOUR OF BUCKWHEAT,MT
110290,,95,FLOUR OF FONIO,MT
110290,,98,FLOUR OF TRITICALE,MT
110290,,104,FLOUR OF MIXED GRAIN,MT
110290,,111,FLOUR OF CEREALS,MT
110311,,16,FLOUR OF WHEAT,MT
110313,,58,FLOUR OF MAIZE,MT
110319,,38,RICE FLOUR,MT
110319,,48,BARLEY FLOUR AND GRITS,MT
110319,,72,FLOUR OF RYE,MT
110319,,80,FLOUR OF MILLET,MT
110319,,84,FLOUR OF SORGHUM,MT
110319,,90,FLOUR OF BUCKWHEAT,MT
110319,,95,FLOUR OF FONIO,MT
110319,,98,FLOUR OF TRITICALE,MT
110319,,104,FLOUR OF MIXED GRAIN,MT
110319,,111,FLOUR OF CEREALS,MT
110320,,16,FLOUR OF WHEAT,MT
110320,,38,RICE FLOUR,MT
110320,,48,BARLEY FLOUR AND GRITS,MT
110320,,58,FLOUR OF MAIZE,MT
110320,,72,FLOUR OF RYE,MT
110320,,80,FLOUR OF MILLET,MT
110320,,84,FLOUR OF SORGHUM,MT
110320,,90,FLOUR OF BUCKWHEAT,MT
110320,,95,FLOUR OF FONIO,MT
110320,,98,FLOUR OF TRITICALE,MT
110320,,104,FLOUR OF MIXED GRAIN,MT
110320,,111,FLOUR OF CEREALS,MT
110412,,76,OATS ROLLED,MT
110419,,45,POT BARLEY,MT
110419,,46,BARLEY PEARLED,MT
110419,,113,"CEREAL PREPARATIONS, NES",MT
110422,,76,OATS ROLLED,MT
110423,,113,"CEREAL PREPARATIONS, NES",MT
110429,,21,BULGUR,MT
110429,,45,POT BARLEY,MT
110429,,46,BARLEY PEARLED,MT
110429,,113,"CEREAL PREPARATIONS, NES",MT
110430,,19,GERM OF WHEAT,MT
110430,,57,GERM OF MAIZE,MT
110510,,117,POTATOES FLOUR,MT
110520,,117,POTATOES FLOUR,MT
110610,,212,FLOUR OF PULSES,MT
110620,,126,FLOUR OF CASSAVA,MT
110620,,150,FLOUR OF ROOTS AND TUBERS,MT
110630,,624,FLOUR OF FRUITS,MT
110710,,49,MALT,MT
110720,,49,MALT,MT
110811,,23,STARCH OF WHEAT,MT
110812,,64,STARCH OF MAIZE,MT
110813,,119,STARCH OF POTATOES,MT
110814,,129,CASSAVA STARCH,MT
110819,,34,STARCH OF RICE,MT
110900,,24,GLUTEN OF WHEAT,MT
120110,,236,SOYBEANS,MT
120190,,236,SOYBEANS,MT
120230,,242,GROUNDNUTS IN SHELL,MT
120241,,242,GROUNDNUTS IN SHELL,MT
120242,,243,GROUNDNUTS SHELLED,MT
120300,,251,COPRA,MT
120400,,333,LINSEED,MT
120510,,270,RAPESEED,MT
120590,,270,RAPESEED,MT
120600,,267,SUNFLOWER SEED,MT
120710,,256,PALMNUT KERNELS,MT
120721,,329,COTTONSEED,MT
120729,,329,COTTONSEED,MT
120730,,265,CASTOR BEANS,MT
120740,,289,SESAME SEED,MT
120750,,292,MUSTARD SEED,MT
120760,,280,SAFFLOWER SEED,MT
120770,,299,Melonseeds,MT
120791,,296,POPPY SEED,MT
120799,,263,KARITE NUTS (SHEANUTS),MT
120799,,275,TUNG NUTS,MT
120799,,277,JOJOBA SEEDS,MT
120799,,305,TALLOWTREE SEEDS,MT
120799,,311,KAPOKSEED IN SHELL,MT
120799,,312,KAPOKSEED SHELLED,MT
120799,,336,HEMPSEED,MT
120799,,339,"OILSEEDS, NES",MT
120810,,343,FLOUR OF OILSEEDS,MT
120890,,343,FLOUR OF OILSEEDS,MT
120910,,1294,SEEDS FOR PLANTING,MT
120921,,1294,SEEDS FOR PLANTING,MT
120922,,1294,SEEDS FOR PLANTING,MT
120923,,1294,SEEDS FOR PLANTING,MT
120924,,1294,SEEDS FOR PLANTING,MT
120925,,1294,SEEDS FOR PLANTING,MT
120929,,1294,SEEDS FOR PLANTING,MT
120930,,1294,SEEDS FOR PLANTING,MT
120991,,1294,SEEDS FOR PLANTING,MT
120999,,1294,SEEDS FOR PLANTING,MT
121010,,677,HOPS,MT
121020,,677,HOPS,MT
121120,,1293,CRUDE MATERIALS,$ VALUE only
121130,,1293,CRUDE MATERIALS,$ VALUE only
121140,,1293,CRUDE MATERIALS,$ VALUE only
121190,,748,PEPPERMINT,MT
121190,,754,"PYRETHRUM,DRIED",MT
121190,,756,PYRETHRUM Marc,MT
121190,,1293,CRUDE MATERIALS,$ VALUE only
121221,,1293,CRUDE MATERIALS,$ VALUE only
121229,,1293,CRUDE MATERIALS,$ VALUE only
121291,,157,SUGAR BEET,MT
121292,,461,Carobs,MT
121293,,156,SUGAR CANE,MT
121294,,459,CHICORY ROOTS,MT
121299,,161,"SUGAR CROPS, NES",MT
121299,,460,VEG.PROD.FRESH OR DRIED,MT
121300,,635,STRAW HUSKS,MT
121410,,862,alfalfa meal and pellets,MT
121490,,205,VETCHES,MT
121490,,210,LUPINS,MT
121490,,636,MAIZE FOR FORAGE;SILAGE,MT
121490,,637,SORGUM FOR FORAGE; SILAGE,MT
121490,,638,RYE GRASS FOR FORAGE; SIL.,MT
121490,,639,GRASSES NES FOR FORAGE;SIL,MT
121490,,640,CLOVER FOR FORAGE;SILAGE,MT
121490,,641,ALFALFA FOR FORAGE;SILAGE,MT
121490,,642,GREEN OILSEEDS FOR SILAGE,MT
121490,,643,LEGUMINOUS FOR SILAGE,MT
121490,,644,CABBAGE FOR FODDER,MT
121490,,645,PUMPKINS FOR FODDER,MT
121490,,646,TURNIPS FOR FODDER,MT
121490,,647,BEETS FOR FODDER,MT
121490,,648,CARROTS FOR FODDER,MT
121490,,649,SWEDES FOR FODDER,MT
121490,,651,FORAGE PRODUCTS,MT
121490,,655,VEGETABLES ROOTS FODDER,MT
121490,,857,HAY NON LEGUM,MT
121490,,858,"HAY (CLOVER, LUCERNE,ETC)",MT
121490,,859,HAY (UNSPECIFIED),MT
130120,,1291,ARABIC GUMS,MT
130190,,1292,OTHER RESINS,MT
130211,,1293,CRUDE MATERIALS,$ VALUE only
130212,,1293,CRUDE MATERIALS,$ VALUE only
130213,,1293,CRUDE MATERIALS,$ VALUE only
