"reporter","flow","hs6","fcl","Year"
141,1,30760,1176,2000
141,1,30761,1176,2000
141,1,30762,1176,2000
141,1,30763,1176,2000
141,1,30764,1176,2000
141,1,30765,1176,2000
141,1,30766,1176,2000
141,1,30767,1176,2000
141,1,30768,1176,2000
141,1,30769,1176,2000
141,1,30770,1599,2000
141,1,30771,1599,2000
141,1,30772,1599,2000
141,1,30773,1599,2000
141,1,30774,1599,2000
141,1,30775,1599,2000
141,1,30776,1599,2000
141,1,30777,1599,2000
141,1,30778,1599,2000
141,1,30779,1599,2000
141,1,30780,1599,2000
141,1,30781,1599,2000
141,1,30782,1599,2000
141,1,30783,1599,2000
141,1,30784,1599,2000
141,1,30785,1599,2000
141,1,30786,1599,2000
141,1,30787,1599,2000
141,1,30788,1599,2000
141,1,30789,1599,2000
141,1,30790,1599,2000
141,1,30791,1599,2000
141,1,30792,1599,2000
141,1,30793,1599,2000
141,1,30794,1599,2000
141,1,30795,1599,2000
141,1,30796,1599,2000
141,1,30797,1599,2000
141,1,30798,1599,2000
141,1,30799,1599,2000
141,1,30811,1599,2000
141,1,30819,1599,2000
141,1,30821,1599,2000
141,1,30829,1599,2000
141,1,30830,1599,2000
141,1,30890,1599,2000
141,1,40100,888,2000
141,1,40110,888,2000
141,1,40120,882,2000
141,1,40130,885,2000
141,1,40140,885,2000
141,1,40150,885,2000
141,1,40200,898,2000
141,1,40210,898,2000
141,1,40220,897,2000
141,1,40229,897,2000
141,1,40291,894,2000
141,1,40299,889,2000
141,1,40300,892,2000
141,1,40390,893,2000
141,1,40400,900,2000
141,1,40410,900,2000
141,1,40490,909,2000
141,1,40510,886,2000
141,1,40590,886,2000
141,1,40600,901,2000
141,1,40630,907,2000
141,1,40700,1062,2000
141,1,40711,1062,2000
141,1,40719,1091,2000
141,1,40721,1062,2000
141,1,40729,1091,2000
141,1,40790,1062,2000
141,1,40800,1064,2000
141,1,40811,1064,2000
141,1,40819,1063,2000
141,1,40891,1064,2000
141,1,40899,1063,2000
141,1,40900,1182,2000
141,1,41000,1232,2000
141,1,50100,1293,2000
141,1,50200,1293,2000
141,1,50210,1293,2000
141,1,50290,1293,2000
141,1,50300,1100,2000
141,1,50400,1293,2000
141,1,50500,1293,2000
141,1,50510,1293,2000
141,1,50590,1293,2000
141,1,50600,1293,2000
141,1,50610,1293,2000
141,1,50690,1293,2000
