"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus"
"894","5910","23120.03","2015",3107.1,""
"894","5910","23120.90","2015",1484.08,""
"894","5910","23140.03","2015",1095.9897,""
"894","5910","23140.08","2015",4554.1,""
"894","5910","23161.02","2015",24.93629,""
"894","5910","23161.03","2015",424.9,""
"894","5910","23170.01","2015",0.6,""
"894","5910","23170.04","2015",30,""
"894","5910","23210.01","2015",0.964,""
"894","5910","23210.03","2015",2,""
"894","5910","23210.04","2015",3209.004,""
"894","5910","23210.05","2015",30,""
"894","5910","23210.06","2015",8.8,""
"894","5910","23220.01","2015",0.05,""
"894","5910","23220.05","2015",25.325,""
"894","5910","23220.06","2015",42.07,""
"894","5910","2351f","2015",193923.695598,""
"894","5910","23520","2015",28097.4325,""
"894","5910","23540","2015",67359.998097,""
"894","5910","23670.01","2015",6042.679726,""
"894","5910","23670.02","2015",45.602,""
"894","5910","23710","2015",4.67,""
"894","5910","23911","2015",0.12,""
"894","5910","23912.02","2015",165.159,""
"894","5910","23991.01","2015",3.78,""
"894","5910","23991.04","2015",2.26735,""
"894","5910","23999.02","2015",99.115,""
"894","5910","24110","2015",118.6,""
"894","5910","2413","2015",1918.34835,""
"894","5910","24212.02","2015",11.32107,""
"894","5910","24220","2015",0.04813,""
"894","5910","24230.03","2015",10,""
"894","5910","24310.01","2015",0.98188,""
"894","5910","24320","2015",196,""
"894","5910","24490","2015",23973.629038,""
"894","5910","25020.01","2015",33.99902,""
"894","5910","25020.02","2015",20.02857,""
"894","5910","25090","2015",2743.817,""
"894","5910","26150.02","2015",1.925,""
"894","5910","26160","2015",5217.714,""
"894","5910","34120","2015",0.25,""
"894","5910","34550","2015",12833.06,""
"894","5910","35410.90","2015",56.36,""
"894","5910","39120.01","2015",4759.598,""
"894","5910","39120.04","2015",80034.348523,""
"894","5910","39130.04","2015",29.5,""
"894","5910","39170.01","2015",5549.8945,""
"894","5910","F0020","2015",58.5,""
"894","5910","F0022","2015",3460.11775,""
"894","5910","F0472","2015",93.127001,""
"894","5910","F0473","2015",600.32827,""
"894","5910","F0623","2015",60.701,""
"894","5910","F0666","2015",336.673221,""
"894","5910","F0769","2015",60.46,""
"894","5910","F0994","2015",10.467,""
"894","5910","F1042","2015",3.08,""
"894","5910","F1232","2015",6583.580011,""
"894","5910","F1243","2015",607.8,""
"894","5910","F1275","2015",1922.494,""
"894","5910","F1294","2015",87.756,""
"894","5910","0112","2016",516542.619068,"T"
"894","5910","0113","2016",0.65,"T"
"894","5910","0114","2016",85.246,"T"
"894","5910","0118","2016",151.304,"T"
"894","5910","01191","2016",24,"T"
"894","5910","01192","2016",0.1,"T"
"894","5910","01199.90","2016",428.172,"T"
"894","5910","01211","2016",1.0886,"T"
"894","5910","01212","2016",7.83,"T"
"894","5910","01214","2016",12.234,"T"
"894","5910","01221","2016",2.524,"T"
"894","5910","01231","2016",45.323,"T"
"894","5910","01234","2016",17.3451,"T"
"894","5910","01242","2016",413.40502,"T"
"894","5910","01243","2016",1.675,"T"
"894","5910","01251","2016",0.0075,"T"
"894","5910","01253.02","2016",0.052,"T"
"894","5910","01254","2016",0.267,"T"
"894","5910","01270","2016",1.365,"T"
"894","5910","01290.01","2016",39.74,"T"
"894","5910","01311","2016",0.19,"T"
"894","5910","01312","2016",1.4,"T"
"894","5910","01313","2016",1.239,"T"
"894","5910","01316","2016",52.114,"T"
"894","5910","01319","2016",0.85,"T"
"894","5910","01321","2016",0.81,"T"
"894","5910","01323","2016",1.139,"T"
"894","5910","01324","2016",0.025,"T"
"894","5910","01329","2016",0.47,"T"
"894","5910","01330","2016",126.984,"T"
"894","5910","01341","2016",17.343,"T"
"894","5910","01342.01","2016",0.4,"T"
"894","5910","01346","2016",0.13,"T"
"894","5910","01356","2016",0.004,"T"
"894","5910","01359.90","2016",0.173,"T"
"894","5910","01379.90","2016",60.707,"T"
"894","5910","0141","2016",5880.555,"T"
"894","5910","0143","2016",10000,"E"
"894","5910","01444","2016",0.2,"T"
"894","5910","01445","2016",2968.572,"T"
"894","5910","01449.90","2016",0.05,"T"
"894","5910","01510","2016",13.69,"T"
"894","5910","01520.02","2016",24.462,"T"
"894","5910","01530","2016",121.693,"T"
"894","5910","01540","2016",0.54,"T"
"894","5910","01550","2016",0.25,"T"
"894","5910","01599.10","2016",1.147,"T"
"894","5910","01610","2016",587.039135,"T"
"894","5910","01620","2016",64.459376,"T"
"894","5910","01651","2016",44.3975,"T"
"894","5910","01655","2016",0.05,"T"
"894","5910","01656","2016",0.24,"T"
"894","5910","01699","2016",0.3305,"T"
"894","5910","01702","2016",0.1,"T"
"894","5910","01705","2016",240,"T"
"894","5910","01706","2016",893.06,"T"
"894","5910","01708","2016",147.9871,"T"
"894","5910","01709.90","2016",0.065,"T"
"894","5910","01802","2016",0.67,"T"
"894","5910","01921.02","2016",41940.604,"T"
"894","5910","01950.02","2016",0.401,"T"
"894","5910","01970","2016",41692.26836,"T"
"894","5910","01990.01","2016",113.303,"T"
"894","5910","02211","2016",16.18,"T"
"894","5910","0231","2016",85.934,"T"
"894","5910","0232","2016",312.778,"T"
"894","5910","02910","2016",766.3195,"T"
"894","5910","02941","2016",0.01,"T"
"894","5910","02951.04","2016",22.259,"T"
"894","5910","02951.06","2016",103.743,"T"
"894","5910","02953.04","2016",0.005682,"T"
"894","5910","02955.90","2016",0.000232,"T"
"894","5910","02959.03","2016",0.02,"T"
"894","5910","02959.20","2016",2.5,"T"
"894","5910","02959.30","2016",43.472,"T"
"894","5910","02960.01","2016",20.02,"T"
"894","5910","02960.02","2016",5.859,"T"
"894","5910","17400","2016",84.9885,"T"
"894","5910","21111.02","2016",0.802,"T"
"894","5910","21113.01","2016",3.856,"T"
"894","5910","21115","2016",8,"T"
"894","5910","21121","2016",0.7384,"T"
"894","5910","21170.92","2016",0.165,"T"
"894","5910","21183","2016",23.697,"T"
"894","5910","21184.02","2016",0.6,"T"
"894","5910","21190.01","2016",1398,"T"
"894","5910","21313","2016",11.9953,"T"
"894","5910","21319.01","2016",11.50209,"T"
"894","5910","21340","2016",129.70454,"T"
"894","5910","21392","2016",1.26,"T"
"894","5910","21393.01","2016",0.15,"T"
"894","5910","21393.90","2016",1142.02,"T"
"894","5910","21399.01","2016",0.1,"T"
"894","5910","21399.02","2016",0.015,"T"
"894","5910","21411","2016",20,"T"
"894","5910","21419.99","2016",0.1,"T"
"894","5910","21421","2016",38.669,"T"
"894","5910","21431.02","2016",3.198,"T"
"894","5910","21433.01","2016",31,"T"
"894","5910","21434","2016",1.541,"T"
"894","5910","21439.05","2016",122.6388,"T"
