"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"894","261","23710","2018",8982.428346,"T","i"
"894","261","23710","2017",7655.980136,"T","i"
"894","261","23710","2016",7406.731902,"T","i"
"894","261","23710","2015",7160.343142,"T","i"
"894","261","23710","2014",6953.065971,"T","i"
"894","261","23710","2013",6682.845736,"T","i"
"894","261","23710","2012",6957.716264,"T","i"
"894","261","23710","2011",6019.516276,"T","i"
"894","261","23710","2010",5743.326787,"T","i"
"894","271","23710","2022",638.966345,"T","i"
"894","271","23710","2021",696.907535,"T","i"
"894","271","23710","2020",553.083126,"T","i"
"894","271","23710","2019",460.023248,"T","i"
"894","271","23710","2018",304.532471,"T","i"
"894","271","23710","2017",259.56172,"T","i"
"894","271","23710","2016",251.111423,"T","i"
"894","271","23710","2015",242.758072,"T","i"
"894","271","23710","2014",235.730727,"T","i"
"894","271","23710","2013",226.569414,"T","i"
"894","271","23710","2012",235.888386,"T","i"
"894","271","23710","2011",204.080466,"T","i"
"894","271","23710","2010",194.716777,"T","i"
"894","281","23710","2022",96.650371,"T","i"
"894","281","23710","2021",105.414585,"T","i"
"894","281","23710","2020",83.659632,"T","i"
"894","281","23710","2019",69.583348,"T","i"
"894","281","23710","2018",46.063735,"T","i"
"894","281","23710","2017",39.261437,"T","i"
"894","281","23710","2016",37.983241,"T","i"
"894","281","23710","2015",36.719708,"T","i"
"894","281","23710","2014",35.656749,"T","i"
"894","281","23710","2013",34.271004,"T","i"
"894","281","23710","2012",35.680596,"T","i"
"894","281","23710","2011",30.869314,"T","i"
"894","281","23710","2010",29.452958,"T","i"
"894","664","23710","2022",2.579477,"T","i"
"894","664","23710","2021",2.892057,"T","i"
"894","664","23710","2020",2.361345,"T","i"
"894","664","23710","2019",2.022508,"T","i"
"894","664","23710","2018",1.379768,"T","i"
"894","664","23710","2017",1.212581,"T","i"
"894","664","23710","2016",1.210204,"T","i"
"894","664","23710","2015",1.207355,"T","i"
"894","664","23710","2014",1.21043,"T","i"
"894","664","23710","2013",1.201785,"T","i"
"894","664","23710","2012",1.292823,"T","i"
"894","664","23710","2011",1.156038,"T","i"
"894","664","23710","2010",1.140882,"T","i"
