"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"894","5016","S2514","2022",NA,NA,NA
"894","5016","S2514","2021",NA,NA,NA
"894","5016","S2514","2020",NA,NA,NA
"894","5016","S2514","2019",NA,NA,NA
"894","5016","S2514","2018",NA,NA,NA
"894","5016","S2514","2017",NA,NA,NA
"894","5016","S2514","2016",NA,NA,NA
"894","5016","S2514","2015",NA,NA,NA
"894","5016","S2514","2014",NA,NA,NA
"894","5023","S2514","2022",NA,NA,NA
"894","5023","S2514","2021",NA,NA,NA
"894","5023","S2514","2020",NA,NA,NA
"894","5023","S2514","2019",NA,NA,NA
"894","5023","S2514","2018",NA,NA,NA
"894","5023","S2514","2017",NA,NA,NA
"894","5023","S2514","2016",NA,NA,NA
"894","5023","S2514","2015",NA,NA,NA
"894","5023","S2514","2014",NA,NA,NA
"894","5141","S2514","2022",NA,NA,NA
"894","5141","S2514","2021",NA,NA,NA
"894","5141","S2514","2020",NA,NA,NA
"894","5141","S2514","2019",NA,NA,NA
"894","5141","S2514","2018",NA,NA,NA
"894","5141","S2514","2017",NA,NA,NA
"894","5141","S2514","2016",NA,NA,NA
"894","5141","S2514","2015",NA,NA,NA
"894","5141","S2514","2014",NA,NA,NA
"894","261","S2514","2022",NA,NA,NA
"894","261","S2514","2021",NA,NA,NA
"894","261","S2514","2020",NA,NA,NA
"894","261","S2514","2019",NA,NA,NA
"894","261","S2514","2018",NA,NA,NA
"894","261","S2514","2017",NA,NA,NA
"894","261","S2514","2016",NA,NA,NA
"894","261","S2514","2015",NA,NA,NA
"894","261","S2514","2014",NA,NA,NA
"894","271","S2514","2022",NA,NA,NA
"894","271","S2514","2021",NA,NA,NA
"894","271","S2514","2020",NA,NA,NA
"894","271","S2514","2019",NA,NA,NA
"894","271","S2514","2018",NA,NA,NA
"894","271","S2514","2017",NA,NA,NA
"894","271","S2514","2016",NA,NA,NA
"894","271","S2514","2015",NA,NA,NA
"894","271","S2514","2014",NA,NA,NA
"894","281","S2514","2022",NA,NA,NA
"894","281","S2514","2021",NA,NA,NA
"894","281","S2514","2020",NA,NA,NA
"894","281","S2514","2019",NA,NA,NA
"894","281","S2514","2018",NA,NA,NA
"894","281","S2514","2017",NA,NA,NA
"894","281","S2514","2016",NA,NA,NA
"894","281","S2514","2015",NA,NA,NA
"894","281","S2514","2014",NA,NA,NA
"894","664","S2514","2022",NA,NA,NA
"894","664","S2514","2021",NA,NA,NA
"894","664","S2514","2020",NA,NA,NA
"894","664","S2514","2019",NA,NA,NA
"894","664","S2514","2018",NA,NA,NA
"894","664","S2514","2017",NA,NA,NA
"894","664","S2514","2016",NA,NA,NA
"894","664","S2514","2015",NA,NA,NA
"894","664","S2514","2014",NA,NA,NA
"894","674","S2514","2022",NA,NA,NA
"894","674","S2514","2021",NA,NA,NA
"894","674","S2514","2020",NA,NA,NA
"894","674","S2514","2019",NA,NA,NA
"894","674","S2514","2018",NA,NA,NA
"894","674","S2514","2017",NA,NA,NA
"894","674","S2514","2016",NA,NA,NA
"894","674","S2514","2015",NA,NA,NA
"894","674","S2514","2014",NA,NA,NA
"894","684","S2514","2022",NA,NA,NA
"894","684","S2514","2021",NA,NA,NA
"894","684","S2514","2020",NA,NA,NA
"894","684","S2514","2019",NA,NA,NA
"894","684","S2514","2018",NA,NA,NA
"894","684","S2514","2017",NA,NA,NA
"894","684","S2514","2016",NA,NA,NA
"894","684","S2514","2015",NA,NA,NA
"894","684","S2514","2014",NA,NA,NA
"894","5165","S2514","2022",NA,NA,NA
"894","5165","S2514","2021",NA,NA,NA
"894","5165","S2514","2020",NA,NA,NA
"894","5165","S2514","2019",NA,NA,NA
"894","5165","S2514","2018",NA,NA,NA
"894","5165","S2514","2017",NA,NA,NA
"894","5165","S2514","2016",NA,NA,NA
"894","5165","S2514","2015",NA,NA,NA
"894","5165","S2514","2014",NA,NA,NA
"894","5166","S2514","2022",NA,NA,NA
"894","5166","S2514","2021",NA,NA,NA
"894","5166","S2514","2020",NA,NA,NA
"894","5166","S2514","2019",NA,NA,NA
"894","5166","S2514","2018",NA,NA,NA
"894","5166","S2514","2017",NA,NA,NA
"894","5166","S2514","2016",NA,NA,NA
"894","5166","S2514","2015",NA,NA,NA
"894","5166","S2514","2014",NA,NA,NA
"894","665","S2514","2022",NA,NA,NA
"894","665","S2514","2021",NA,NA,NA
"894","665","S2514","2020",NA,NA,NA
"894","665","S2514","2019",NA,NA,NA
"894","665","S2514","2018",NA,NA,NA
"894","665","S2514","2017",NA,NA,NA
"894","665","S2514","2016",NA,NA,NA
"894","665","S2514","2015",NA,NA,NA
"894","665","S2514","2014",NA,NA,NA
"894","5610","S2515","2018",NA,NA,NA
"894","5610","S2515","2016",NA,NA,NA
"894","5610","S2515","2014",NA,NA,NA
"894","5071","S2515","2018",NA,NA,NA
"894","5071","S2515","2017",NA,NA,NA
"894","5071","S2515","2016",NA,NA,NA
"894","5071","S2515","2015",NA,NA,NA
"894","5071","S2515","2014",NA,NA,NA
"894","5910","S2515","2017",NA,NA,NA
"894","5520","S2515","2018",NA,NA,NA
"894","5520","S2515","2016",NA,NA,NA
"894","5520","S2515","2014",NA,NA,NA
"894","5141","S2515","2019",NA,NA,NA
"894","5141","S2515","2018",NA,NA,NA
"894","5141","S2515","2017",NA,NA,NA
"894","5141","S2515","2016",NA,NA,NA
"894","5141","S2515","2015",NA,NA,NA
"894","5141","S2515","2014",NA,NA,NA
"894","261","S2515","2022",NA,NA,NA
"894","261","S2515","2021",NA,NA,NA
"894","261","S2515","2020",NA,NA,NA
